,mutual_information,random_forest_importance,mi_rank,rf_rank,combined_rank
363,0.005917309823964212,0.0011718889053386572,157.0,375.0,532.0
165,0.0013062842776141448,0.0015950180568567037,261.0,271.0,532.0
393,0.0006417241438407828,0.0016411705696450472,271.0,261.0,532.0
150,9.94133389378149e-05,0.0017009675373835633,286.0,248.0,534.0
62,0.002395447081577018,0.0014841324489013711,232.0,303.0,535.0
286,0.0,0.0020918859539857393,367.0,169.0,536.0
147,0.007757993112970318,0.0009966666184407637,130.0,406.0,536.0
391,0.0,0.0020898563051863217,367.0,170.0,537.0
332,0.00011350789418984597,0.001666003214710586,285.0,255.0,540.0
89,0.0031893049322506695,0.0013981620797457852,213.0,327.0,540.0
92,0.0,0.002076494978248861,367.0,174.0,541.0
386,0.006558334718358205,0.0010761106701315684,145.0,396.0,541.0
139,0.005031557339946202,0.0011878340903508286,177.0,372.0,549.0
251,0.005249480608248591,0.001153249330648508,171.0,379.0,550.0
317,0.0,0.001985450341176611,367.0,187.0,554.0
53,0.0,0.0019841151980631165,367.0,188.0,555.0
60,0.0,0.0019713975781489855,367.0,189.0,556.0
166,0.007861521675589511,0.0006992017681272349,127.0,430.0,557.0
441,0.0059256478458724615,0.0010263252276132065,156.0,401.0,557.0
487,0.0031936079777048487,0.001302810734234217,212.0,345.0,557.0
144,0.0,0.001969287250620492,367.0,190.0,557.0
29,0.002358033028522888,0.0014001218479194918,234.0,326.0,560.0
527,0.0,0.0019548482319278566,367.0,193.0,560.0
164,0.0,0.0019455716381568146,367.0,195.0,562.0
151,0.0,0.0019405513149119932,367.0,196.0,563.0
8,0.0,0.0019369138184084937,367.0,197.0,564.0
564,0.00576596609711344,0.0009972657145657037,161.0,405.0,566.0
483,0.0035805003898856658,0.0012328007809228282,204.0,362.0,566.0
202,0.0,0.001898480585169621,367.0,202.0,569.0
204,0.0,0.0018871183584986669,367.0,204.0,571.0
145,0.0,0.0018810937856236325,367.0,206.0,573.0
437,0.002049753467459947,0.001359205846800835,241.0,333.0,574.0
171,0.006537746643359821,0.0007230508610479872,146.0,428.0,574.0
95,0.003178738397827452,0.001235435591012637,214.0,361.0,575.0
353,0.0001641818144260121,0.0015236434993565534,284.0,291.0,575.0
48,0.0,0.001872440525560148,367.0,208.0,575.0
1,0.0,0.00187223506847706,367.0,209.0,576.0
223,0.0017639869463015323,0.0013929695348909995,248.0,329.0,577.0
90,0.0,0.0018706537296613553,367.0,210.0,577.0
560,0.0,0.0018700914161742421,367.0,211.0,578.0
409,0.0,0.0018577109949321259,367.0,213.0,580.0
482,0.005528755104247107,0.0008886517560235607,164.0,417.0,581.0
221,0.002623713520572668,0.001226264182795786,223.0,364.0,587.0
440,0.0008610580591688066,0.0014202523423348025,268.0,320.0,588.0
271,0.0,0.0018272932623235776,367.0,221.0,588.0
199,0.0,0.0018211498688883642,367.0,222.0,589.0
148,0.0,0.0018204138400109882,367.0,223.0,590.0
442,0.005288891572965859,0.0008491753106492136,169.0,421.0,590.0
426,0.0,0.001807116923640314,367.0,226.0,593.0
446,0.0028431182612782546,0.0011631885495054174,219.0,378.0,597.0
67,0.0,0.0017976185866462853,367.0,230.0,597.0
